doc,index,anchor
clarissa,1975,yesterday
clarissa,12584,yesterday
clarissa,16236,tomorrow
clarissa,16319,sunday
clarissa,16328,sunday
clarissa,16520,february
clarissa,17982,yesterday
clarissa,20444,sunday
clarissa,22118,march
clarissa,22149,wednesday
clarissa,22150,march
clarissa,23149,thursday
clarissa,23151,march
clarissa,23389,may
clarissa,25043,march
clarissa,25127,january
clarissa,26847,sunday
clarissa,26879,sunday
clarissa,29449,thursday
clarissa,29451,march
clarissa,29459,yesterday
clarissa,30027,friday
clarissa,30028,march
clarissa,31745,friday
clarissa,31746,march
clarissa,31924,yesterday
clarissa,41308,tomorrow
clarissa,41352,today
clarissa,42091,march
clarissa,42107,yesterday
clarissa,44333,may
clarissa,47442,may
clarissa,50013,may
clarissa,50040,sunday
clarissa,50042,march
clarissa,50623,may
clarissa,50704,sunday
clarissa,50868,tomorrow
clarissa,50875,today
clarissa,50881,tomorrow
clarissa,51216,may
clarissa,51533,may
clarissa,52085,oclock
clarissa,52121,march
clarissa,52692,march
clarissa,53086,tuesday
clarissa,53485,may
clarissa,53859,wednesday
clarissa,54988,wednesday
clarissa,56658,thursday
clarissa,56660,march
clarissa,60329,friday
clarissa,61498,saturday
clarissa,61499,march
clarissa,64264,sunday
clarissa,64266,march
clarissa,65282,monday
clarissa,65283,march
clarissa,68523,yesterday
clarissa,68885,tuesday
clarissa,68886,march
clarissa,68929,march
clarissa,69661,may
clarissa,69739,may
clarissa,69954,sunday
clarissa,70343,saturday
clarissa,70344,march
clarissa,74364,sunday
clarissa,75557,tuesday
clarissa,75609,sunday
clarissa,75638,thursday
clarissa,75639,march
clarissa,75781,wednesday
clarissa,76572,thursday
clarissa,76573,march
clarissa,76819,thursday
clarissa,76820,march
clarissa,77224,friday
clarissa,77225,march
clarissa,84176,sunday
clarissa,84565,march
clarissa,84574,sunday
clarissa,84575,march
clarissa,86194,monday
clarissa,86195,march
clarissa,86924,monday
clarissa,86925,march
clarissa,86948,yesterday
clarissa,86963,tomorrow
clarissa,87011,yesterday
clarissa,90472,saturday
clarissa,92247,sunday
clarissa,94089,tuesday
clarissa,94090,march
clarissa,94201,yesterday
clarissa,96125,tuesday
clarissa,99207,sunday
clarissa,100776,wednesday
clarissa,100778,oclock
clarissa,102831,may
clarissa,104289,april
clarissa,104755,may
clarissa,105339,wednesday
clarissa,105341,oclock
clarissa,105636,sunday
clarissa,105640,monday
clarissa,105832,wednesday
clarissa,105834,march
clarissa,106241,tomorrow
clarissa,108366,tomorrow
clarissa,108389,thursday
clarissa,108391,oclock
clarissa,110194,thursday
clarissa,111199,thursday
clarissa,111201,march
clarissa,112909,march
clarissa,114421,thursday
clarissa,114652,thursday
clarissa,115043,thursday
clarissa,115044,march
clarissa,115654,thursday
clarissa,115842,yesterday
clarissa,117222,friday
clarissa,117225,oclock
clarissa,117501,friday
clarissa,117503,oclock
clarissa,117925,friday
clarissa,119328,friday
clarissa,119553,tomorrow
clarissa,119559,tomorrow
clarissa,119583,tomorrow
clarissa,119633,tomorrow
clarissa,119727,tomorrow
clarissa,120144,may
clarissa,120183,friday
clarissa,120185,march
clarissa,121026,oclock
clarissa,121760,friday
clarissa,123885,march
clarissa,124298,yesterday
clarissa,125035,may
clarissa,125793,sunday
clarissa,125900,may
clarissa,126231,yesterday
clarissa,126495,yesterday
clarissa,130942,may
clarissa,131385,sunday
clarissa,131947,sunday
clarissa,132531,sunday
clarissa,133006,tomorrow
clarissa,133337,monday
clarissa,133339,march
clarissa,133439,sunday
clarissa,133443,monday
clarissa,134860,monday
clarissa,134988,friday
clarissa,134994,saturday
clarissa,135234,monday
clarissa,135236,march
clarissa,135517,monday
clarissa,136185,monday
clarissa,136197,monday
clarissa,136271,tomorrow
clarissa,136316,monday
clarissa,137771,yesterday
clarissa,137878,tuesday
clarissa,137880,oclock
clarissa,137904,monday
clarissa,137991,thursday
clarissa,138047,thursday
clarissa,138068,tuesday
clarissa,138071,oclock
clarissa,138161,sunday
clarissa,139288,tomorrow
clarissa,139358,tuesday
clarissa,139667,thursday
clarissa,139702,tuesday
clarissa,139706,march
clarissa,140939,thursday
clarissa,141019,thursday
clarissa,141755,thursday
clarissa,141824,tuesday
clarissa,141855,thursday
clarissa,142016,thursday
clarissa,142127,thursday
clarissa,142347,tuesday
clarissa,143102,tuesday
clarissa,143456,wednesday
clarissa,143459,oclock
clarissa,143794,may
clarissa,144308,wednesday
clarissa,144662,wednesday
clarissa,144664,march
clarissa,144762,tuesday
clarissa,144910,tuesday
clarissa,145057,saturday
clarissa,145060,wednesday
clarissa,145110,thursday
